Subject / Topic,Complexity (1-10),Relevance (1-10),Study Time (mins),Learning Method,Stress Level,Sleep Hours,Recall Score (1hr),Recall Score (1day),Recall Score (1week),Days Since Learning,Forgetfulness Probability (%)
Psychoacoustics - Theory,9,5,119,Video,9,6.8,10.0,9.4,8.7,19,2.6
Sustainable Agriculture - Applications,4,8,69,Video,5,8.4,10.0,9.9,8.2,9,20.7
Relativity Theory - Applications,7,6,103,Video,7,7.3,10.0,9.9,9.1,29,22.4
Zero-Gravity Engineering - Advanced,5,5,76,Practical,1,9.0,10.0,10.0,8.5,22,10.5
Artificial Consciousness - Advanced,4,8,70,Practical,8,5.6,10.0,10.0,9.3,14,0.0
Alien Anthropology - Applications,8,6,99,Practical,5,7.6,10.0,10.0,9.1,11,18.5
Cultural Studies - Workshop,9,5,111,Video,10,6.5,10.0,9.7,8.6,11,10.1
Digital Marketing - Advanced,3,5,58,Video,3,8.5,10.0,10.0,8.9,25,11.7
Evolutionary Biology - Theory,9,6,114,Text,9,6.9,10.0,10.0,9.2,26,1.4
Compiler Design - Applications,8,6,114,Video,5,8.4,10.0,10.0,9.0,9,6.2
Artificial Consciousness - Theory,5,9,74,Video,10,6.2,10.0,10.0,8.6,18,12.2
Financial Markets - Workshop,8,9,109,Text,8,7.3,10.0,10.0,9.4,30,7.5
Digital Marketing - Theory,7,8,104,Video,10,6.4,10.0,9.8,8.5,25,10.3
Marine Biology - Intro,9,8,122,Video,8,7.3,10.0,10.0,8.9,8,11.7
Climate Modeling - Applications,7,7,97,Audio,6,7.9,10.0,9.6,8.5,12,10.0
Geospatial Analysis - Advanced,6,9,88,Text,8,6.5,10.0,9.4,8.9,30,12.6
Visual Perception - Theory,5,6,82,Video,7,7.6,10.0,10.0,8.8,18,10.7
Syntax and Semantics - Workshop,4,9,74,Audio,8,7.4,10.0,9.5,9.0,21,9.3
Nanorobotics - Lab,7,8,107,Practical,8,7.2,10.0,10.0,9.1,16,6.3
Ethical Hacking - Workshop,4,8,74,Text,6,7.9,10.0,10.0,9.2,30,11.9
Moral Philosophy - Workshop,9,8,123,Audio,10,6.6,10.0,9.9,8.9,12,15.1
Synthetic Biology - Intro,4,6,71,Text,5,7.6,10.0,10.0,9.1,18,7.3
Behavioral Neuroscience - Concepts,9,5,120,Text,6,7.5,10.0,9.9,9.0,20,8.0
Ethical Hacking - Applications,3,8,58,Text,5,8.1,10.0,9.8,8.8,12,21.5
Cellular Automata - Intro,8,9,112,Video,10,6.5,10.0,9.3,8.0,28,22.4
Logic Circuits - Concepts,4,5,68,Practical,1,8.9,10.0,10.0,8.2,11,21.3
Quantum Theology - Lab,9,9,123,Practical,10,6.2,10.0,8.8,8.3,10,23.9
Mathematical Music Theory - Workshop,6,8,93,Video,8,7.1,10.0,10.0,9.3,24,5.5
Sustainable Agriculture - Applications,5,6,82,Video,9,6.1,10.0,9.9,8.9,20,18.2
Cultural Studies - Advanced,5,5,76,Text,1,9.0,10.0,10.0,9.1,27,0.0
Urban Planning - Workshop,3,5,59,Video,1,9.0,10.0,10.0,9.1,8,17.8
Lunar Architecture - Applications,6,8,95,Video,5,8.1,10.0,10.0,9.1,26,5.7
Nanorobotics - Workshop,8,8,101,Text,6,7.5,10.0,10.0,8.9,7,13.7
Financial Markets - Concepts,6,8,90,Text,8,6.9,10.0,10.0,8.5,16,18.4
Blockchain Security - Workshop,9,7,123,Practical,5,9.0,10.0,10.0,8.6,7,11.5
Digital Humanities - Theory,5,6,82,Text,4,8.3,10.0,10.0,9.3,16,12.0
Alien Anthropology - Applications,6,6,100,Audio,4,8.6,10.0,10.0,9.3,11,11.5
Quantum Computing - Advanced,8,8,101,Text,7,7.0,10.0,9.8,9.2,30,7.8
UX Design - Advanced,7,7,94,Practical,9,7.0,10.0,9.6,9.0,17,5.3
Psychoacoustics - Concepts,4,8,70,Video,7,6.7,10.0,10.0,9.5,13,12.3
Holographic Computing - Workshop,9,8,124,Text,7,7.2,10.0,10.0,8.6,18,15.7
Alien Anthropology - Theory,4,6,70,Video,2,8.8,10.0,10.0,8.7,13,19.1
Logic Circuits - Theory,5,7,86,Practical,7,6.3,10.0,10.0,9.2,27,0.0
Ethical Hacking - Intro,5,6,77,Practical,4,8.5,10.0,9.6,8.6,15,17.2
Artificial Consciousness - Theory,8,8,108,Video,7,7.1,10.0,10.0,9.3,11,4.5
Cultural Studies - Advanced,6,9,93,Text,7,7.8,10.0,9.3,8.7,7,12.6
Urban Planning - Theory,8,5,108,Text,8,7.0,10.0,9.7,8.5,27,19.3
Phonetics - Theory,3,8,64,Practical,4,7.8,10.0,10.0,8.9,20,1.6
Forensic Science - Applications,5,7,83,Practical,5,8.3,10.0,10.0,9.3,25,3.6
Artificial Consciousness - Concepts,9,9,117,Video,7,7.3,10.0,10.0,8.5,9,16.9
Remote Sensing - Intro,9,7,121,Video,6,7.7,10.0,10.0,8.6,11,5.6
Cultural Studies - Lab,5,8,77,Audio,8,7.4,10.0,9.3,8.6,7,15.6
Game Development - Concepts,5,8,75,Video,6,7.8,10.0,9.3,8.7,30,7.1
Educational Psychology - Workshop,8,5,108,Video,6,7.4,10.0,9.9,8.8,16,21.0
Educational Psychology - Advanced,9,7,119,Video,5,7.1,10.0,9.8,8.1,26,21.9
Nanorobotics - Lab,8,9,110,Text,6,7.2,10.0,10.0,9.3,23,10.7
Neural Networks - Advanced,6,5,89,Video,6,7.6,10.0,10.0,8.8,8,7.0
Alien Anthropology - Intro,7,7,91,Practical,6,7.7,10.0,9.9,9.0,29,10.1
Internet of Things - Applications,5,8,84,Audio,6,8.4,10.0,10.0,8.8,23,10.2
Digital Archaeology - Concepts,7,5,91,Audio,6,8.7,10.0,9.9,9.5,25,7.4
Computational Linguistics - Workshop,8,8,110,Practical,9,6.7,10.0,10.0,9.2,13,11.7
Behavioral Neuroscience - Intro,6,6,86,Video,7,7.6,10.0,9.9,8.8,26,11.4
Syntax and Semantics - Theory,8,6,110,Text,6,7.5,10.0,9.0,7.9,19,21.6
Behavioral Neuroscience - Applications,3,5,58,Text,3,8.3,10.0,10.0,9.6,20,2.7
Bioinformatics - Intro,9,5,121,Practical,8,7.0,10.0,9.8,9.0,18,18.9
Pharmacology - Workshop,4,7,72,Video,1,8.9,10.0,10.0,9.2,19,2.4
Syntax and Semantics - Intro,4,9,75,Practical,6,7.3,10.0,9.6,8.4,21,9.1
Relativity Theory - Lab,8,9,113,Video,9,6.5,10.0,9.8,8.8,10,13.5
UX Design - Intro,4,6,70,Video,3,8.3,10.0,10.0,8.9,7,7.9
Remote Sensing - Intro,4,6,74,Text,2,8.9,10.0,10.0,8.6,30,8.9
3D Animation - Workshop,6,6,87,Practical,8,7.2,10.0,9.7,8.7,10,14.9
Lunar Architecture - Theory,4,8,78,Text,4,7.7,10.0,10.0,8.8,18,6.6
Zero-Gravity Engineering - Applications,6,9,87,Practical,7,7.6,10.0,8.8,7.5,27,25.6
Blockchain Security - Lab,3,5,57,Text,4,8.3,10.0,10.0,9.1,12,7.9
Antimatter - Workshop,5,6,70,Text,3,8.5,10.0,10.0,9.1,28,8.5
Forensic Science - Applications,5,7,76,Text,2,9.0,10.0,10.0,8.8,9,7.6
Nanorobotics - Applications,5,5,78,Practical,5,8.8,10.0,10.0,8.9,12,6.5
Moral Philosophy - Advanced,9,5,118,Text,4,8.2,10.0,10.0,8.7,22,11.4
Evolutionary Biology - Intro,6,5,98,Video,6,7.2,10.0,10.0,8.9,18,19.1
Pharmacology - Workshop,6,9,92,Video,7,7.7,10.0,9.6,8.7,19,5.3
Dream Analysis - Applications,6,6,94,Text,10,6.8,10.0,9.0,7.9,15,23.3
Photosynthesis - Lab,3,7,60,Video,5,8.1,10.0,9.6,8.8,30,6.2
Moral Philosophy - Applications,7,8,96,Practical,6,7.7,10.0,10.0,9.6,29,4.8
Moral Philosophy - Concepts,6,7,100,Practical,8,6.6,10.0,9.3,8.0,10,20.0
Cultural Studies - Applications,6,7,89,Text,8,6.5,10.0,9.0,8.3,11,18.2
Zero-Gravity Engineering - Intro,5,7,83,Practical,3,8.4,10.0,10.0,8.9,29,19.6
Remote Sensing - Theory,8,8,105,Video,8,6.6,10.0,9.4,8.4,28,20.6
Artificial Consciousness - Theory,9,7,114,Video,8,7.5,10.0,10.0,8.9,17,10.6
Quantum Entanglement - Workshop,4,7,77,Audio,7,6.6,10.0,10.0,9.4,11,13.4
Virtual Reality Ethics - Theory,4,6,72,Text,2,8.9,10.0,10.0,9.4,18,1.2
Financial Markets - Intro,3,6,58,Practical,5,7.9,10.0,9.5,8.5,11,9.2
Dream Analysis - Workshop,4,6,69,Audio,5,8.3,10.0,10.0,9.0,28,18.6
Cognitive Robotics - Intro,7,5,94,Text,5,8.4,10.0,10.0,8.9,20,11.7
Metallurgy - Workshop,5,7,77,Video,10,6.1,10.0,10.0,9.2,29,11.7
Quantum Entanglement - Applications,3,9,62,Video,3,9.0,10.0,10.0,9.3,8,1.8
Political Philosophy - Intro,4,9,70,Video,6,7.2,10.0,9.4,8.2,11,15.0
Phonetics - Concepts,4,9,73,Video,4,8.7,10.0,10.0,8.4,28,23.8
Logic Circuits - Workshop,8,8,96,Video,8,7.4,10.0,9.4,8.2,21,8.2
Alien Anthropology - Advanced,5,6,80,Video,8,6.2,10.0,10.0,8.7,9,14.3
Epidemiology - Advanced,3,6,63,Audio,7,6.9,10.0,9.9,9.4,26,12.3
Game Development - Advanced,5,6,68,Practical,1,9.0,10.0,10.0,8.7,20,4.2
Zero-Gravity Engineering - Advanced,3,8,54,Text,8,7.2,10.0,9.6,8.8,24,12.1
Sustainable Agriculture - Concepts,9,7,112,Video,7,7.4,10.0,10.0,9.1,13,0.0
Agile Methodologies - Theory,9,5,126,Practical,5,6.7,10.0,10.0,8.6,8,13.1
Cellular Automata - Intro,4,6,70,Text,5,7.9,10.0,9.6,8.7,20,14.4
Climate Modeling - Lab,5,7,80,Practical,5,7.7,10.0,10.0,8.8,17,13.2
Marine Biology - Theory,5,9,85,Text,6,7.1,10.0,9.7,8.8,18,17.3
Fictional Languages - Concepts,7,5,99,Practical,4,8.6,10.0,10.0,9.5,8,5.9
Mathematical Music Theory - Intro,9,9,116,Audio,9,6.8,10.0,10.0,8.8,20,13.0
Climate Modeling - Intro,8,7,110,Video,9,6.4,10.0,9.8,8.8,27,14.1
Urban Planning - Workshop,5,7,82,Practical,6,7.3,10.0,10.0,9.0,11,8.3
Artificial Consciousness - Concepts,3,9,54,Practical,5,8.1,10.0,9.8,8.7,12,13.2
Marine Biology - Concepts,7,5,107,Practical,7,7.6,10.0,10.0,8.6,8,7.7
Philosophy of Mind - Concepts,5,9,70,Audio,9,7.2,10.0,9.6,8.6,20,32.0
Blockchain Security - Intro,5,9,81,Video,7,7.7,10.0,10.0,9.7,21,5.2
Agile Methodologies - Workshop,7,9,108,Practical,7,7.4,10.0,9.4,8.0,15,16.4
Compiler Design - Advanced,4,5,70,Audio,5,7.6,10.0,9.7,8.6,24,21.6
Mythology - Concepts,5,8,69,Video,5,8.2,10.0,10.0,9.3,23,17.2
Syntax and Semantics - Workshop,6,5,97,Practical,1,8.7,10.0,10.0,8.7,26,10.2
Antimatter - Intro,8,9,107,Audio,9,6.9,10.0,9.2,8.6,8,10.8
Artificial Consciousness - Workshop,4,6,73,Video,4,8.2,10.0,10.0,9.7,29,12.2
Fictional Languages - Applications,5,6,82,Video,4,8.7,10.0,10.0,8.7,10,7.6
Financial Markets - Intro,4,7,69,Practical,1,9.0,10.0,10.0,8.7,22,15.6
Lunar Architecture - Theory,3,8,49,Video,4,8.6,10.0,10.0,8.6,8,12.7
Digital Marketing - Applications,4,7,72,Text,4,8.5,10.0,10.0,9.1,27,13.9
AI Narratives - Theory,7,7,103,Video,9,6.8,10.0,10.0,9.1,19,12.6
Game Development - Applications,5,6,71,Practical,9,7.6,10.0,9.2,8.3,20,18.1
3D Animation - Lab,4,5,78,Video,4,8.6,10.0,10.0,9.4,26,7.8
Syntax and Semantics - Theory,6,7,88,Practical,7,8.1,10.0,9.6,8.7,7,8.3
Educational Psychology - Intro,3,7,69,Text,2,9.0,10.0,10.0,9.1,30,9.2
Relativity Theory - Intro,3,8,63,Audio,5,7.8,10.0,10.0,9.4,30,5.9
Creative Writing - Concepts,9,6,120,Text,6,7.4,10.0,9.7,8.3,20,14.0
Quantum Computing - Lab,4,5,70,Video,1,9.0,10.0,10.0,9.2,16,4.9
Agile Methodologies - Advanced,7,8,104,Video,9,6.2,10.0,10.0,8.5,16,11.0
Artificial Consciousness - Theory,3,5,67,Practical,4,8.1,10.0,9.9,8.6,27,18.6
Speech Recognition - Concepts,9,5,115,Text,8,6.8,10.0,10.0,8.9,14,11.4
Dream Analysis - Theory,4,7,67,Text,4,8.3,10.0,10.0,9.4,7,0.9
Digital Archaeology - Applications,4,8,78,Text,1,8.1,10.0,10.0,8.8,24,16.3
Phonetics - Applications,3,7,55,Text,2,9.0,10.0,10.0,8.4,22,21.7
Remote Sensing - Applications,4,9,70,Video,8,7.5,10.0,10.0,9.2,26,6.5
Geospatial Analysis - Workshop,4,5,66,Practical,4,8.8,10.0,10.0,8.9,9,7.6
Virtual Reality Ethics - Intro,8,8,113,Video,9,6.9,10.0,9.5,8.6,20,20.8
Photosynthesis - Theory,6,6,77,Practical,5,8.6,10.0,9.9,9.4,9,15.0
Cellular Automata - Theory,4,7,73,Video,5,8.3,10.0,9.7,8.7,15,19.0
Pharmacology - Intro,8,9,115,Practical,8,7.5,10.0,9.0,8.1,15,18.7
Cognitive Robotics - Intro,8,9,113,Text,6,7.9,10.0,10.0,9.4,30,2.3
Nanorobotics - Advanced,4,9,65,Practical,7,8.1,10.0,10.0,8.7,17,3.0
Political Philosophy - Lab,7,7,82,Audio,10,6.2,9.8,10.0,9.2,13,14.0
Geospatial Analysis - Lab,3,6,56,Video,3,9.0,10.0,9.7,8.9,20,3.5
Virtual Reality Ethics - Concepts,8,8,113,Video,4,8.2,10.0,10.0,8.8,20,7.7
Zero-Gravity Engineering - Lab,8,5,109,Practical,7,7.0,10.0,10.0,9.4,30,3.8
Sustainable Agriculture - Lab,9,6,124,Video,4,8.5,10.0,10.0,8.8,17,14.9
Bioinformatics - Theory,7,7,98,Text,5,7.4,10.0,10.0,8.9,10,0.0
Logic Circuits - Advanced,5,8,78,Video,5,7.8,10.0,10.0,8.9,13,11.4
Astrophysics - Applications,7,5,108,Practical,7,7.3,10.0,9.9,8.5,14,23.6
Alien Anthropology - Concepts,9,8,116,Practical,9,6.7,10.0,10.0,9.1,26,5.8
Neural Networks - Lab,5,5,83,Video,4,8.8,10.0,10.0,9.3,22,10.6
Epidemiology - Lab,5,5,83,Text,2,9.0,10.0,9.2,9.0,27,7.6
UX Design - Workshop,7,9,111,Practical,10,6.3,10.0,9.0,8.2,14,19.4
Cellular Automata - Theory,6,7,98,Practical,6,7.9,10.0,10.0,9.1,20,8.3
Digital Archaeology - Concepts,7,6,102,Video,8,8.2,10.0,9.8,9.0,20,5.0
Quantum Entanglement - Applications,8,9,113,Video,9,6.2,10.0,9.6,8.5,19,17.5
Digital Marketing - Workshop,3,9,66,Video,9,6.3,10.0,9.5,8.9,8,12.2
Blockchain Security - Workshop,7,8,96,Text,5,8.0,10.0,10.0,9.1,10,9.3
Biomechanics - Workshop,6,5,98,Practical,6,9.0,10.0,10.0,8.8,10,19.5
Geospatial Analysis - Lab,7,5,99,Practical,5,7.6,10.0,9.7,8.4,16,15.6
Ancient Civilizations - Lab,6,8,93,Text,4,8.0,10.0,10.0,8.5,10,16.8
Agile Methodologies - Applications,3,7,61,Practical,7,7.7,10.0,9.6,8.8,23,8.4
Neural Networks - Lab,4,5,66,Practical,2,9.0,10.0,10.0,9.4,12,9.5
Speech Recognition - Applications,6,9,88,Video,8,7.1,10.0,9.4,8.1,17,13.0
Cognitive Robotics - Intro,6,9,86,Audio,10,6.6,10.0,10.0,9.0,9,10.6
Pharmacology - Workshop,8,5,111,Text,9,6.8,10.0,9.7,8.9,8,8.7
Epidemiology - Intro,6,5,82,Text,3,8.7,10.0,9.8,9.1,19,11.1
Blockchain Security - Advanced,3,7,55,Video,6,7.0,10.0,10.0,9.3,30,3.1
Quantum Entanglement - Concepts,5,5,77,Text,6,7.8,10.0,9.2,8.3,29,19.3
Artificial Consciousness - Advanced,6,7,89,Practical,4,8.3,10.0,9.4,7.6,29,24.1
Computational Linguistics - Advanced,9,9,127,Practical,5,8.2,10.0,10.0,9.0,13,16.7
Sustainable Agriculture - Workshop,3,7,64,Text,5,7.7,10.0,9.8,8.5,8,6.2
Lunar Architecture - Advanced,8,5,109,Text,8,7.4,10.0,9.7,9.0,27,5.3
Quantum Computing - Lab,9,6,129,Text,10,6.9,10.0,9.9,9.5,7,2.1
Immunology - Intro,8,5,111,Practical,5,9.0,10.0,10.0,8.8,24,13.3
Interstellar Politics - Intro,4,6,73,Practical,5,7.8,10.0,10.0,9.3,23,9.1
Financial Markets - Theory,6,9,80,Audio,5,7.5,10.0,10.0,9.3,18,9.8
Pharmacology - Lab,5,8,75,Practical,9,6.9,10.0,10.0,9.0,12,11.0
Pharmacology - Workshop,3,9,65,Text,6,8.0,10.0,9.0,7.6,30,23.7
Behavioral Economics - Theory,4,9,73,Video,7,7.5,10.0,10.0,8.7,12,10.4
Marine Biology - Intro,5,9,88,Video,7,7.5,10.0,10.0,9.2,29,11.8
Mathematical Music Theory - Intro,4,7,78,Audio,3,8.3,10.0,9.8,8.7,25,9.1
Behavioral Neuroscience - Theory,5,9,77,Audio,8,6.3,10.0,9.8,8.7,16,15.0
Game Development - Workshop,7,8,105,Text,9,7.4,10.0,9.0,7.8,8,22.9
Immunology - Intro,7,5,95,Video,8,7.9,10.0,10.0,9.1,14,1.2
Digital Humanities - Advanced,7,6,92,Audio,8,6.7,10.0,10.0,8.8,11,14.0
Extraterrestrial Agriculture - Intro,4,9,71,Video,4,8.0,10.0,10.0,8.8,29,25.2
Dream Analysis - Theory,7,6,103,Text,6,6.9,10.0,9.7,8.6,10,24.1
Zero-Gravity Engineering - Workshop,3,9,61,Text,6,7.5,10.0,9.6,8.9,10,16.6
Sustainable Agriculture - Intro,3,7,64,Text,3,8.8,10.0,10.0,9.0,21,13.1
Computational Linguistics - Intro,7,6,97,Audio,4,8.0,10.0,10.0,8.7,19,7.4
Financial Markets - Concepts,5,9,85,Text,6,8.1,10.0,9.2,8.9,11,13.1
Game Development - Applications,5,9,77,Practical,7,6.9,10.0,10.0,8.6,21,24.6
Blockchain Security - Advanced,4,8,81,Text,10,6.8,10.0,9.2,7.9,26,18.3
Marine Biology - Lab,5,8,84,Video,9,7.0,10.0,10.0,8.9,27,3.2
UX Design - Lab,9,8,127,Practical,7,7.2,10.0,10.0,8.8,13,16.5
Behavioral Neuroscience - Lab,9,7,113,Text,6,7.6,10.0,9.3,8.3,20,13.2
Astrophysics - Advanced,9,6,117,Video,5,8.4,10.0,10.0,9.3,18,1.8
Astrophysics - Applications,6,7,89,Video,8,8.5,10.0,9.5,8.6,12,15.8
Political Philosophy - Lab,5,5,74,Video,4,8.2,10.0,10.0,9.0,29,14.4
Interstellar Politics - Advanced,3,9,68,Audio,5,8.5,10.0,10.0,9.1,13,9.7
Dream Analysis - Advanced,8,9,110,Video,7,8.2,10.0,10.0,8.9,8,15.4
Quantum Theology - Applications,5,9,72,Text,10,6.2,10.0,10.0,8.9,19,17.7
Quantum Computing - Lab,9,8,117,Practical,10,6.1,10.0,9.4,8.4,25,18.4
Neural Networks - Workshop,4,9,64,Audio,4,8.3,10.0,10.0,8.8,25,15.0
Climate Modeling - Lab,5,8,83,Text,4,8.4,10.0,8.6,7.4,21,24.6
Compiler Design - Advanced,9,5,123,Video,9,7.1,10.0,10.0,9.3,28,16.5
Metallurgy - Intro,4,7,73,Text,3,8.2,10.0,9.7,8.3,23,19.7
Creative Writing - Intro,6,7,94,Text,9,7.2,10.0,9.4,8.6,20,16.5
Zero-Gravity Engineering - Lab,7,7,110,Text,8,6.5,10.0,10.0,8.9,11,9.6
AI Narratives - Theory,6,8,99,Practical,5,8.0,10.0,10.0,9.1,28,5.6
Metallurgy - Intro,3,6,57,Video,5,8.2,10.0,10.0,9.0,29,6.2
Climate Modeling - Applications,8,6,120,Practical,7,6.7,10.0,9.8,8.4,7,14.1
Cultural Studies - Applications,6,5,88,Video,2,9.0,10.0,10.0,9.1,25,9.3
Zero-Gravity Engineering - Workshop,6,6,90,Practical,6,7.6,10.0,9.8,8.7,20,14.8
Zero-Gravity Engineering - Applications,3,5,60,Text,3,8.4,10.0,10.0,8.7,15,4.2
Quantum Entanglement - Intro,3,9,63,Audio,6,7.9,10.0,9.8,8.6,27,20.7
Bioinformatics - Intro,7,7,90,Video,6,7.0,10.0,10.0,8.8,24,11.3
Zero-Gravity Engineering - Concepts,7,8,100,Video,8,7.3,10.0,10.0,8.4,9,23.8
Sustainable Agriculture - Concepts,5,5,81,Practical,3,8.0,10.0,10.0,9.0,28,12.8
Climate Modeling - Lab,4,8,61,Text,5,8.2,10.0,9.9,8.6,25,15.8
Immunology - Intro,3,8,51,Practical,2,9.0,10.0,10.0,8.2,19,23.9
Dream Analysis - Workshop,6,7,85,Practical,5,8.8,10.0,10.0,9.2,7,15.5
Pharmacology - Lab,6,9,86,Video,6,8.5,10.0,9.6,8.1,11,19.1
Marine Biology - Applications,7,9,100,Practical,5,8.4,10.0,10.0,8.8,16,19.5
Logic Circuits - Theory,4,6,69,Text,5,8.0,10.0,10.0,8.5,17,15.7
Remote Sensing - Workshop,9,9,125,Video,10,6.5,10.0,9.9,8.8,13,11.6
Mythology - Advanced,3,7,58,Practical,3,8.0,10.0,10.0,8.7,17,12.1
Logic Circuits - Applications,7,8,98,Practical,9,5.9,10.0,9.8,9.2,22,1.7
Behavioral Economics - Workshop,9,5,125,Text,7,7.9,10.0,9.4,8.7,27,0.0
Forensic Science - Workshop,4,5,60,Audio,1,9.0,10.0,10.0,8.8,23,9.0
3D Animation - Lab,3,9,68,Video,10,6.1,10.0,9.6,8.4,24,17.9
Marine Biology - Advanced,6,6,82,Practical,4,7.4,10.0,10.0,9.2,24,10.9
Antimatter - Concepts,6,5,95,Text,5,8.1,10.0,10.0,8.8,16,3.1
Neural Networks - Workshop,7,6,104,Video,7,7.3,10.0,9.8,8.7,10,15.9
Lunar Architecture - Concepts,4,5,77,Text,4,8.0,10.0,9.3,8.1,26,13.7
Philosophy of Mind - Theory,6,6,86,Video,7,7.0,10.0,9.6,8.3,23,21.8
Biomechanics - Lab,9,6,120,Audio,9,6.9,10.0,9.3,8.7,8,15.7
Philosophy of Mind - Theory,4,8,64,Video,4,8.3,10.0,10.0,8.7,24,7.1
Visual Perception - Concepts,7,7,99,Audio,6,6.8,10.0,9.6,8.4,17,13.4
Syntax and Semantics - Intro,9,5,119,Video,5,7.6,10.0,9.7,8.9,7,4.2
Cultural Studies - Concepts,9,9,127,Video,7,7.8,10.0,10.0,9.4,27,9.8
Ancient Civilizations - Intro,5,7,82,Video,6,7.3,10.0,10.0,9.1,22,8.9
Bioinformatics - Lab,4,8,69,Text,7,7.9,10.0,10.0,9.1,27,7.3
Molecular Biology - Advanced,8,8,109,Video,4,8.3,10.0,10.0,9.1,11,6.7
Holographic Computing - Applications,4,8,67,Video,5,7.8,10.0,10.0,9.0,12,17.5
Pharmacology - Theory,7,9,98,Text,6,7.5,10.0,10.0,8.7,19,13.5
Mythology - Concepts,8,5,110,Video,7,7.7,10.0,10.0,8.9,17,14.8
Agile Methodologies - Applications,5,5,89,Audio,6,7.2,10.0,10.0,9.3,27,7.2
Digital Marketing - Applications,6,6,92,Video,7,6.7,10.0,9.2,8.1,20,17.7
Epidemiology - Theory,3,6,54,Audio,1,8.8,10.0,10.0,9.1,13,20.3
Moral Philosophy - Advanced,7,6,113,Video,7,6.8,10.0,9.4,8.5,15,8.9
Marine Biology - Lab,3,9,65,Practical,5,7.5,10.0,10.0,9.2,15,3.5
Creative Writing - Workshop,5,7,84,Video,2,8.4,10.0,9.8,8.7,23,13.9
Philosophy of Mind - Workshop,8,5,108,Video,3,8.7,10.0,10.0,9.0,12,2.6
Quantum Entanglement - Intro,5,6,83,Practical,4,7.3,10.0,9.8,9.0,13,1.9
Quantum Computing - Lab,4,9,71,Text,6,7.7,10.0,10.0,8.9,16,10.0
Political Philosophy - Lab,3,9,53,Video,8,7.0,10.0,8.9,8.0,11,15.2
Digital Marketing - Intro,3,6,62,Video,3,9.0,10.0,10.0,9.1,8,14.3
Compiler Design - Lab,5,8,73,Practical,7,7.5,10.0,10.0,9.0,14,13.2
Mythology - Advanced,8,8,111,Text,8,7.2,10.0,10.0,9.1,7,11.4
Psychoacoustics - Workshop,3,8,61,Text,3,8.1,10.0,9.8,8.9,29,12.2
Sustainable Agriculture - Advanced,9,6,115,Video,6,7.5,10.0,9.9,8.6,19,4.4
Cognitive Robotics - Concepts,6,9,90,Video,7,6.6,10.0,9.9,8.6,18,12.4
Extraterrestrial Agriculture - Applications,5,9,82,Practical,4,8.9,10.0,9.7,8.9,10,16.5
Astrophysics - Intro,4,5,67,Practical,5,8.7,10.0,10.0,8.9,16,8.1
Evolutionary Biology - Applications,4,8,72,Text,8,7.3,10.0,9.2,8.3,12,27.1
Zero-Gravity Engineering - Advanced,4,6,76,Text,8,6.5,10.0,9.0,8.1,21,23.1
Sustainable Agriculture - Lab,3,5,64,Practical,5,8.3,10.0,10.0,9.2,30,12.5
Evolutionary Biology - Applications,5,9,78,Text,7,7.2,10.0,9.3,8.6,21,15.1
Political Philosophy - Theory,4,5,77,Video,1,8.4,10.0,10.0,9.0,25,14.7
UX Design - Concepts,5,8,83,Video,4,8.1,10.0,10.0,9.1,8,6.7
Creative Writing - Lab,3,7,59,Video,2,9.0,10.0,10.0,9.1,14,16.3
Astrophysics - Theory,6,8,86,Video,6,7.6,10.0,9.7,8.3,12,10.4
Mathematical Music Theory - Theory,6,8,93,Video,8,7.1,10.0,10.0,8.9,17,4.8
Mathematical Music Theory - Theory,6,6,95,Audio,6,7.1,10.0,10.0,8.9,28,9.9
Remote Sensing - Applications,3,7,65,Audio,5,7.9,10.0,9.5,8.0,14,14.0
Remote Sensing - Applications,4,7,73,Video,6,7.6,10.0,9.2,8.1,27,12.8
Ancient Civilizations - Workshop,3,7,58,Practical,3,8.1,10.0,9.7,8.1,27,20.4
Holographic Computing - Lab,5,9,82,Practical,6,7.8,10.0,9.4,8.5,13,11.9
Evolutionary Biology - Workshop,6,5,85,Text,5,7.9,10.0,10.0,9.0,28,12.1
Mythology - Intro,5,9,81,Video,9,7.1,10.0,10.0,8.7,25,23.0
Urban Planning - Concepts,3,7,68,Practical,4,8.0,10.0,9.6,9.2,20,4.1
Fictional Languages - Advanced,7,6,94,Practical,6,7.8,10.0,10.0,8.9,26,17.5
Marine Biology - Concepts,7,8,97,Video,4,7.9,10.0,10.0,8.2,24,17.3
Cultural Studies - Applications,9,8,124,Video,6,6.9,10.0,9.8,9.1,14,10.4
Quantum Computing - Advanced,3,9,55,Video,6,8.2,10.0,9.9,8.5,12,21.8
AI Narratives - Applications,4,9,77,Audio,6,7.5,10.0,9.8,8.8,20,22.7
Metallurgy - Lab,8,6,114,Video,4,7.8,10.0,10.0,8.2,29,19.9
Logic Circuits - Lab,5,8,85,Video,3,8.9,10.0,10.0,9.2,11,12.1
Zero-Gravity Engineering - Lab,3,9,65,Audio,3,8.6,10.0,10.0,9.2,13,10.8
Visual Perception - Concepts,3,5,53,Video,3,7.9,10.0,10.0,9.3,26,14.8
Virtual Reality Ethics - Intro,7,9,94,Text,9,6.7,10.0,10.0,8.9,10,13.4
Sustainable Agriculture - Advanced,6,9,96,Practical,8,6.3,10.0,9.1,8.2,17,20.9
