subject_/topic,complexity_1-10,relevance_1-10,study_time_mins,learning_method,stress_level,sleep_hours,recall_score_1hr,recall_score_1day,recall_score_1week,days_since_learning,forgetfulness_probability_%,memory_strength,predicted_retention_%
Pharmacology - Lab,8,9,109,Practical,6,7.6,10.0,9.9,8.5,30,11.2,5.0,0.25
Computational Linguistics - Intro,8,6,103,Audio,8,7.4,9.5,9.5,8.8,9,14.3,4.428571428571429,13.1
Ancient Civilizations - Intro,9,6,123,Audio,6,7.6,10.0,10.0,8.4,10,17.5,5.0,13.53
Ancient Civilizations - Advanced,7,5,101,Audio,4,7.9,10.0,10.0,8.7,16,20.9,5.0,4.08
Visual Perception - Workshop,5,7,87,Practical,5,7.9,10.0,10.0,8.8,22,11.8,5.0,1.23
Immunology - Applications,6,8,95,Text,6,8.3,10.0,9.5,7.9,26,12.2,5.0,0.55
Mythology - Theory,5,6,81,Video,4,8.6,10.0,9.7,8.6,8,17.2,5.0,20.19
Sustainable Agriculture - Intro,7,5,97,Audio,8,7.5,10.0,9.5,8.2,18,28.7,5.0,2.73
Bioinformatics - Applications,3,7,61,Video,3,8.6,10.0,9.5,8.4,22,19.6,5.0,1.23
Antimatter - Advanced,7,7,99,Practical,7,6.4,10.0,9.9,8.6,16,10.1,5.0,4.08
Digital Humanities - Advanced,8,5,114,Text,7,6.8,10.0,10.0,8.7,11,7.6,5.0,11.08
Political Philosophy - Applications,9,5,124,Audio,7,7.3,10.0,9.7,8.4,18,11.2,5.0,2.73
Compiler Design - Applications,3,8,58,Video,7,6.8,10.0,9.7,9.2,9,18.0,5.0,16.53
Molecular Biology - Theory,9,5,112,Video,6,7.4,10.0,9.3,8.4,18,14.4,5.0,2.73
UX Design - Intro,8,8,116,Video,9,6.5,10.0,9.3,7.9,7,17.7,5.0,24.66
Pharmacology - Workshop,4,8,72,Audio,7,7.1,10.0,9.9,8.8,8,11.2,5.0,20.19
Syntax and Semantics - Advanced,7,9,98,Practical,9,7.5,10.0,10.0,9.0,17,8.4,5.0,3.34
Digital Humanities - Concepts,7,7,102,Video,3,8.6,10.0,9.8,8.6,18,21.8,5.0,2.73
Pharmacology - Lab,6,7,90,Practical,7,7.9,10.0,10.0,9.3,13,1.9,5.0,7.43
Quantum Computing - Applications,5,7,86,Video,7,7.5,10.0,9.9,8.7,7,18.9,5.0,24.66
Phonetics - Workshop,3,9,50,Text,5,8.7,10.0,9.7,8.6,19,14.6,5.0,2.24
Speech Recognition - Intro,9,8,118,Text,7,7.9,10.0,10.0,9.0,19,16.0,5.0,2.24
Molecular Biology - Theory,3,8,67,Text,4,8.0,10.0,10.0,9.1,8,16.9,5.0,20.19
Marine Biology - Theory,6,5,92,Video,3,9.0,10.0,10.0,8.9,16,11.4,5.0,4.08
Pharmacology - Concepts,6,9,98,Video,8,6.9,10.0,9.3,8.4,29,14.4,5.0,0.3
Agile Methodologies - Intro,9,5,113,Audio,10,6.6,8.3,7.9,7.0,7,30.3,3.057142857142858,10.13
Remote Sensing - Workshop,5,9,85,Audio,5,8.2,10.0,10.0,8.5,13,14.5,5.0,7.43
Evolutionary Biology - Lab,9,5,125,Text,6,7.9,10.0,9.5,9.0,19,1.7,5.0,2.24
Financial Markets - Advanced,9,6,111,Text,7,7.8,9.1,8.4,7.9,30,28.8,3.971428571428571,0.05
Behavioral Neuroscience - Advanced,8,7,108,Video,4,7.9,10.0,10.0,8.8,8,13.2,5.0,20.19
Molecular Biology - Workshop,5,7,79,Video,4,8.7,10.0,8.8,8.2,26,12.2,5.0,0.55
Creative Writing - Applications,7,8,91,Text,7,7.7,10.0,10.0,9.6,13,0.0,5.0,7.43
Sustainable Agriculture - Theory,8,6,108,Text,5,8.0,10.0,9.7,8.4,23,4.4,5.0,1.01
Mythology - Theory,4,7,74,Practical,7,7.3,10.0,9.7,8.3,28,20.9,5.0,0.37
Mythology - Concepts,5,8,78,Practical,3,8.2,10.0,10.0,9.4,11,2.9,5.0,11.08
Antimatter - Lab,6,6,91,Text,7,7.6,10.0,10.0,9.5,17,2.7,5.0,3.34
Antimatter - Concepts,8,7,111,Video,10,6.2,10.0,9.8,9.2,28,10.4,5.0,0.37
Blockchain Security - Lab,5,5,79,Video,5,8.1,10.0,10.0,9.2,30,5.4,5.0,0.25
UX Design - Advanced,3,9,56,Practical,5,7.9,10.0,9.7,8.1,17,21.7,5.0,3.34
Geospatial Analysis - Lab,9,6,123,Video,7,6.7,10.0,10.0,9.1,17,9.5,5.0,3.34
Cellular Automata - Theory,4,8,62,Text,5,7.5,10.0,10.0,8.8,23,11.6,5.0,1.01
Molecular Biology - Applications,7,6,100,Audio,2,9.0,10.0,10.0,8.8,25,4.1,5.0,0.67
Bioinformatics - Applications,9,8,126,Video,6,7.4,10.0,9.8,8.4,14,11.9,5.0,6.08
Immunology - Applications,3,6,57,Video,4,8.0,10.0,10.0,9.2,26,11.0,5.0,0.55
Photosynthesis - Advanced,3,8,56,Video,3,8.2,10.0,10.0,9.0,20,6.6,5.0,1.83
Neural Networks - Intro,4,7,73,Video,4,7.9,10.0,10.0,9.1,16,15.0,5.0,4.08
Biomechanics - Workshop,7,5,100,Video,6,8.5,10.0,9.9,8.7,13,24.7,5.0,7.43
Cultural Studies - Applications,6,7,93,Text,6,7.1,10.0,9.9,8.5,8,18.3,5.0,20.19
Ethical Hacking - Intro,8,5,110,Video,8,7.8,10.0,9.5,7.8,23,29.5,5.0,1.01
Evolutionary Biology - Concepts,7,7,88,Text,7,7.2,10.0,10.0,9.1,7,12.6,5.0,24.66
Marine Biology - Lab,5,7,85,Practical,6,7.4,10.0,10.0,9.0,19,7.3,5.0,2.24
Epidemiology - Theory,3,6,70,Text,3,8.8,10.0,10.0,8.7,25,14.0,5.0,0.67
Biomechanics - Concepts,5,9,86,Text,4,8.3,10.0,10.0,8.8,20,22.1,5.0,1.83
Cultural Studies - Applications,6,8,72,Audio,6,7.6,8.2,8.3,6.8,24,29.4,2.942857142857142,0.03
Marine Biology - Advanced,5,8,82,Practical,5,8.1,10.0,10.0,9.0,26,4.8,5.0,0.55
3D Animation - Lab,7,8,97,Practical,7,7.4,10.0,10.0,9.1,20,3.3,5.0,1.83
Creative Writing - Intro,5,5,74,Video,2,8.8,10.0,10.0,8.6,21,12.9,5.0,1.5
Urban Planning - Applications,6,8,90,Text,8,7.6,10.0,9.9,8.8,20,7.0,5.0,1.83
Computational Linguistics - Intro,6,8,89,Audio,5,7.3,10.0,10.0,8.8,30,20.4,5.0,0.25
Moral Philosophy - Concepts,6,6,92,Audio,5,7.5,10.0,10.0,9.0,11,11.1,5.0,11.08
Marine Biology - Advanced,7,7,100,Text,6,7.3,10.0,10.0,8.7,22,17.9,5.0,1.23
Biomechanics - Advanced,6,8,84,Practical,9,6.3,10.0,10.0,9.3,11,5.5,5.0,11.08
Artificial Consciousness - Concepts,3,9,57,Text,9,6.8,10.0,10.0,9.1,28,3.3,5.0,0.37
Pharmacology - Theory,9,8,116,Practical,10,6.8,10.0,9.1,8.9,19,4.5,5.0,2.24
Bioinformatics - Theory,6,5,81,Practical,2,7.9,10.0,10.0,9.2,22,3.5,5.0,1.23
Philosophy of Mind - Lab,5,5,73,Audio,4,8.1,10.0,9.7,8.4,21,17.7,5.0,1.5
Financial Markets - Intro,8,5,108,Practical,5,7.8,10.0,10.0,9.0,11,12.6,5.0,11.08
Bioinformatics - Theory,5,8,87,Audio,7,7.3,10.0,9.9,9.2,27,11.0,5.0,0.45
Compiler Design - Advanced,8,6,107,Text,7,6.8,10.0,10.0,8.6,29,6.6,5.0,0.3
Neural Networks - Concepts,5,9,76,Video,5,7.8,10.0,10.0,9.0,12,10.0,5.0,9.07
Ancient Civilizations - Applications,7,8,94,Text,6,7.2,10.0,9.7,8.2,19,12.9,5.0,2.24
Game Development - Concepts,5,6,80,Video,3,8.4,10.0,10.0,8.7,22,15.0,5.0,1.23
Quantum Entanglement - Lab,7,6,105,Audio,1,8.3,9.1,10.0,8.9,16,13.4,3.971428571428571,1.78
Computational Linguistics - Workshop,7,8,110,Video,4,8.1,10.0,10.0,8.4,8,10.1,5.0,20.19
Creative Writing - Theory,6,8,91,Video,8,6.7,10.0,10.0,9.1,19,13.8,5.0,2.24
Internet of Things - Applications,3,6,60,Video,7,7.3,10.0,10.0,9.3,23,18.7,5.0,1.01
Creative Writing - Lab,8,6,107,Practical,9,7.0,10.0,10.0,8.5,7,19.2,5.0,24.66
Quantum Computing - Workshop,6,6,88,Text,7,7.4,10.0,9.0,7.8,10,21.2,5.0,13.53
3D Animation - Theory,6,8,93,Video,4,8.7,10.0,9.6,8.2,24,16.4,5.0,0.82
Molecular Biology - Workshop,9,6,118,Text,5,7.8,10.0,10.0,8.7,12,12.0,5.0,9.07
Digital Marketing - Advanced,7,5,99,Audio,2,9.0,10.0,10.0,8.5,18,11.2,5.0,2.73
Behavioral Neuroscience - Lab,7,8,99,Text,6,8.3,10.0,10.0,9.2,30,9.3,5.0,0.25
Molecular Biology - Lab,8,5,107,Audio,6,7.8,10.0,10.0,9.1,26,3.3,5.0,0.55
Bioinformatics - Workshop,5,7,79,Video,3,8.6,10.0,10.0,9.1,19,0.0,5.0,2.24
Blockchain Security - Concepts,5,8,69,Text,7,7.6,10.0,9.7,8.8,8,13.1,5.0,20.19
UX Design - Workshop,6,7,92,Practical,7,7.6,10.0,9.6,9.1,23,9.1,5.0,1.01
Behavioral Neuroscience - Concepts,4,6,81,Text,4,8.8,10.0,9.7,8.7,29,10.1,5.0,0.3
Syntax and Semantics - Workshop,4,6,67,Video,2,9.0,10.0,10.0,8.8,16,5.6,5.0,4.08
Behavioral Neuroscience - Lab,5,9,81,Text,9,7.2,10.0,9.6,8.8,25,13.4,5.0,0.67
Nanorobotics - Workshop,4,6,74,Video,5,8.0,10.0,10.0,9.3,28,2.0,5.0,0.37
Political Philosophy - Advanced,9,7,126,Video,10,6.7,10.0,10.0,9.0,11,9.3,5.0,11.08
Ethical Hacking - Applications,5,6,78,Video,5,8.2,10.0,10.0,8.8,27,20.8,5.0,0.45
Remote Sensing - Workshop,7,8,90,Text,7,6.8,10.0,10.0,9.3,18,10.3,5.0,2.73
Mythology - Concepts,6,6,91,Video,4,8.8,10.0,10.0,8.3,24,10.2,5.0,0.82
Bioinformatics - Workshop,3,9,60,Audio,5,7.2,10.0,10.0,9.4,15,0.0,5.0,4.98
Nanorobotics - Theory,6,6,88,Practical,2,9.0,10.0,10.0,9.2,17,8.8,5.0,3.34
3D Animation - Intro,5,7,79,Video,3,8.7,10.0,10.0,8.7,10,6.1,5.0,13.53
Marine Biology - Workshop,9,7,120,Video,9,6.7,10.0,9.5,8.2,16,8.0,5.0,4.08
Educational Psychology - Concepts,5,6,81,Text,4,8.5,10.0,10.0,8.7,7,15.7,5.0,24.66
Cultural Studies - Lab,6,7,91,Video,5,8.2,10.0,10.0,9.2,8,9.6,5.0,20.19
Philosophy of Mind - Advanced,9,7,118,Text,6,7.0,10.0,10.0,9.1,15,11.3,5.0,4.98
Neural Networks - Applications,9,9,121,Text,8,7.8,10.0,10.0,9.3,29,8.3,5.0,0.3
Computational Linguistics - Lab,9,8,118,Text,10,6.5,10.0,10.0,9.1,24,8.7,5.0,0.82
Agile Methodologies - Intro,8,9,113,Video,8,8.3,10.0,10.0,8.9,22,7.7,5.0,1.23
Computational Linguistics - Advanced,5,5,76,Video,2,9.0,10.0,10.0,9.3,29,9.6,5.0,0.3
Digital Humanities - Advanced,4,9,70,Practical,8,7.1,10.0,10.0,9.5,20,12.6,5.0,1.83
Biomechanics - Workshop,4,6,61,Text,8,6.8,10.0,10.0,8.6,10,11.5,5.0,13.53
Epidemiology - Applications,5,8,78,Audio,7,7.3,10.0,9.6,8.7,8,7.9,5.0,20.19
Ancient Civilizations - Advanced,5,6,82,Practical,7,7.5,10.0,10.0,8.8,18,6.3,5.0,2.73
Cultural Studies - Intro,8,5,104,Video,8,7.8,10.0,9.8,8.9,26,6.7,5.0,0.55
Molecular Biology - Workshop,4,8,68,Video,2,9.0,10.0,9.4,8.2,11,19.0,5.0,11.08
Quantum Computing - Advanced,5,7,67,Video,9,7.0,10.0,10.0,8.3,10,6.3,5.0,13.53
Biomechanics - Applications,5,9,73,Text,9,7.7,10.0,10.0,9.3,21,9.2,5.0,1.5
Phonetics - Applications,8,6,104,Video,7,6.4,10.0,10.0,9.2,9,11.2,5.0,16.53
Quantum Entanglement - Advanced,8,5,110,Audio,6,7.9,10.0,9.9,9.2,28,0.0,5.0,0.37
Nanorobotics - Advanced,6,7,91,Text,3,9.0,10.0,9.4,7.8,23,17.1,5.0,1.01
Agile Methodologies - Lab,8,9,109,Text,7,7.7,10.0,9.2,8.2,14,18.4,5.0,6.08
Moral Philosophy - Lab,3,7,58,Audio,5,7.3,10.0,9.7,8.4,18,15.3,5.0,2.73
Antimatter - Advanced,4,9,68,Practical,4,9.0,10.0,9.8,9.6,27,6.6,5.0,0.45
Mythology - Lab,6,8,93,Video,6,8.1,10.0,9.9,8.8,14,11.3,5.0,6.08
Metallurgy - Theory,3,7,61,Audio,2,9.0,10.0,10.0,9.1,26,15.3,5.0,0.55
Moral Philosophy - Workshop,5,7,78,Video,5,8.0,10.0,10.0,8.6,26,12.4,5.0,0.55
Financial Markets - Advanced,5,7,86,Text,3,9.0,10.0,10.0,8.8,11,7.1,5.0,11.08
Antimatter - Workshop,6,8,99,Video,4,8.5,10.0,9.4,8.5,27,9.7,5.0,0.45
Philosophy of Mind - Lab,8,5,103,Video,7,7.3,10.0,9.3,7.8,12,25.7,5.0,9.07
Compiler Design - Advanced,9,9,122,Practical,7,7.0,10.0,10.0,8.5,11,15.1,5.0,11.08
Metallurgy - Intro,9,7,135,Text,7,7.8,10.0,9.7,8.2,27,21.2,5.0,0.45
Moral Philosophy - Advanced,5,8,81,Video,5,8.5,10.0,9.4,8.2,14,21.1,5.0,6.08
Metallurgy - Theory,9,5,120,Video,10,6.5,10.0,9.6,8.7,28,2.9,5.0,0.37
Astrophysics - Workshop,7,9,99,Video,9,6.5,10.0,10.0,8.9,24,5.3,5.0,0.82
Phonetics - Applications,6,8,92,Text,8,7.8,10.0,9.3,8.4,10,10.9,5.0,13.53
Speech Recognition - Theory,3,9,63,Video,4,7.9,10.0,10.0,8.9,10,6.9,5.0,13.53
Phonetics - Workshop,6,7,83,Practical,7,8.4,10.0,10.0,9.2,11,5.9,5.0,11.08
Artificial Consciousness - Concepts,4,5,69,Video,4,7.9,10.0,10.0,9.1,21,14.0,5.0,1.5
Philosophy of Mind - Applications,8,8,98,Video,6,7.1,10.0,10.0,8.4,12,22.0,5.0,9.07
Moral Philosophy - Applications,8,5,108,Video,10,5.9,10.0,8.8,7.7,27,21.5,5.0,0.45
Photosynthesis - Theory,6,7,85,Video,7,6.8,10.0,10.0,9.1,22,7.7,5.0,1.23
Urban Planning - Lab,5,5,81,Video,6,7.6,10.0,9.6,8.9,20,7.5,5.0,1.83
Speech Recognition - Intro,5,5,71,Practical,3,8.4,10.0,10.0,9.0,20,10.4,5.0,1.83
Ancient Civilizations - Lab,7,6,97,Practical,3,9.0,10.0,10.0,8.8,22,13.0,5.0,1.23
Photosynthesis - Lab,7,5,104,Video,5,8.4,10.0,9.9,8.9,28,15.0,5.0,0.37
Visual Perception - Concepts,8,9,106,Video,7,7.3,10.0,10.0,9.0,30,14.0,5.0,0.25
Creative Writing - Intro,7,8,90,Practical,8,8.7,10.0,9.6,8.5,10,3.5,5.0,13.53
Cultural Studies - Advanced,3,6,61,Video,5,7.9,10.0,10.0,8.9,17,10.2,5.0,3.34
Epidemiology - Lab,7,8,97,Video,7,7.3,10.0,9.7,8.5,25,21.9,5.0,0.67
3D Animation - Intro,3,8,59,Text,7,6.8,10.0,9.3,8.1,25,16.8,5.0,0.67
Epidemiology - Workshop,7,7,96,Audio,7,7.4,10.0,9.7,8.7,14,18.7,5.0,6.08
Geospatial Analysis - Intro,8,7,119,Video,5,8.1,10.0,10.0,9.0,16,8.5,5.0,4.08
Political Philosophy - Applications,8,6,102,Practical,6,7.1,10.0,9.1,8.1,11,19.9,5.0,11.08
Quantum Entanglement - Concepts,3,7,74,Practical,5,7.8,10.0,10.0,8.8,22,6.3,5.0,1.23
Behavioral Economics - Lab,6,7,88,Text,8,7.3,10.0,9.9,8.6,9,8.5,5.0,16.53
Neural Networks - Advanced,8,7,110,Audio,7,7.1,10.0,10.0,9.1,16,12.6,5.0,4.08
Blockchain Security - Concepts,6,8,87,Practical,5,7.6,10.0,10.0,9.0,30,14.4,5.0,0.25
Marine Biology - Advanced,5,6,76,Video,7,7.8,10.0,10.0,9.2,19,8.1,5.0,2.24
Political Philosophy - Theory,3,8,56,Text,6,7.1,10.0,10.0,9.4,13,0.0,5.0,7.43
Digital Humanities - Intro,9,9,123,Text,10,6.0,10.0,10.0,9.4,18,6.2,5.0,2.73
Immunology - Lab,8,8,102,Video,8,7.2,10.0,10.0,9.3,29,13.3,5.0,0.3
Mythology - Advanced,4,9,71,Video,4,8.7,10.0,9.8,9.0,20,18.7,5.0,1.83
Speech Recognition - Lab,5,5,69,Video,7,7.6,10.0,10.0,8.9,16,9.4,5.0,4.08
Antimatter - Concepts,6,5,91,Text,4,8.2,10.0,10.0,9.3,15,0.0,5.0,4.98
Bioinformatics - Applications,8,9,114,Practical,9,6.6,10.0,10.0,9.0,18,14.2,5.0,2.73
3D Animation - Applications,3,9,53,Video,6,8.2,10.0,8.8,7.5,30,23.6,5.0,0.25
Quantum Entanglement - Lab,9,8,123,Text,8,7.5,10.0,9.2,8.4,9,20.7,5.0,16.53
3D Animation - Intro,7,9,100,Video,7,7.4,10.0,10.0,9.1,19,10.4,5.0,2.24
Digital Marketing - Workshop,9,6,127,Video,4,8.2,10.0,10.0,9.4,12,1.6,5.0,9.07
Quantum Entanglement - Advanced,4,5,65,Text,2,8.9,10.0,10.0,9.3,12,7.3,5.0,9.07
UX Design - Theory,6,5,104,Video,7,7.0,10.0,10.0,8.6,27,20.5,5.0,0.45
Molecular Biology - Intro,5,9,68,Text,7,7.3,10.0,10.0,8.8,25,11.3,5.0,0.67
Digital Humanities - Theory,9,7,118,Audio,10,6.3,10.0,9.4,7.8,13,16.8,5.0,7.43
Ancient Civilizations - Workshop,3,7,51,Practical,2,8.8,10.0,10.0,9.2,10,0.1,5.0,13.53
Neural Networks - Intro,4,9,79,Video,6,7.5,10.0,9.2,7.7,28,19.1,5.0,0.37
3D Animation - Advanced,3,6,58,Audio,6,8.0,10.0,10.0,9.2,11,5.9,5.0,11.08
Marine Biology - Applications,8,7,109,Audio,6,8.1,9.4,9.9,9.1,7,13.1,4.314285714285715,19.74
Remote Sensing - Workshop,7,9,102,Text,7,7.2,10.0,10.0,8.2,24,12.4,5.0,0.82
Evolutionary Biology - Applications,5,6,79,Practical,4,7.9,10.0,9.8,9.1,23,16.8,5.0,1.01
Photosynthesis - Advanced,3,6,57,Practical,3,9.0,10.0,10.0,8.5,15,8.3,5.0,4.98
Behavioral Economics - Concepts,6,8,83,Text,8,7.2,10.0,9.9,8.9,15,22.7,5.0,4.98
Geospatial Analysis - Theory,8,6,110,Text,3,8.4,10.0,9.8,9.1,27,17.6,5.0,0.45
Behavioral Neuroscience - Theory,8,7,111,Text,10,7.2,10.0,9.5,8.9,30,11.7,5.0,0.25
Quantum Entanglement - Applications,5,7,83,Text,4,8.0,10.0,9.8,8.8,16,3.8,5.0,4.08
Internet of Things - Applications,8,9,119,Audio,4,7.3,10.0,10.0,9.3,26,6.7,5.0,0.55
Phonetics - Advanced,6,9,79,Video,7,7.0,10.0,10.0,9.1,23,7.1,5.0,1.01
Internet of Things - Lab,3,6,59,Practical,3,9.0,10.0,10.0,9.6,19,0.0,5.0,2.24
Behavioral Economics - Theory,5,5,85,Audio,4,8.1,10.0,10.0,8.9,10,12.5,5.0,13.53
Logic Circuits - Intro,8,8,109,Audio,8,6.8,10.0,9.9,9.4,29,1.9,5.0,0.3
Phonetics - Concepts,8,5,98,Audio,7,7.4,8.9,8.9,7.9,24,17.4,3.7428571428571433,0.16
Evolutionary Biology - Lab,6,6,83,Text,9,7.3,10.0,9.1,8.5,24,14.0,5.0,0.82
Blockchain Security - Theory,7,6,101,Video,5,8.0,10.0,10.0,8.6,28,11.1,5.0,0.37
Compiler Design - Advanced,7,5,101,Audio,7,7.7,10.0,10.0,9.6,15,14.4,5.0,4.98
Astrophysics - Theory,9,8,123,Text,9,6.7,10.0,9.6,8.7,9,10.3,5.0,16.53
Neural Networks - Lab,8,5,106,Text,1,9.0,10.0,10.0,8.8,13,14.2,5.0,7.43
3D Animation - Intro,3,9,61,Practical,4,8.4,10.0,10.0,8.9,21,11.7,5.0,1.5
3D Animation - Applications,5,7,75,Audio,3,8.4,10.0,9.9,9.3,15,8.8,5.0,4.98
Digital Marketing - Lab,8,9,111,Video,9,6.9,10.0,10.0,9.5,15,7.1,5.0,4.98
Logic Circuits - Lab,4,7,70,Audio,6,7.4,10.0,9.3,8.1,10,23.4,5.0,13.53
Computational Linguistics - Concepts,5,6,75,Practical,6,7.0,10.0,10.0,9.0,24,11.3,5.0,0.82
Astrophysics - Lab,9,8,127,Video,7,7.4,10.0,10.0,9.3,23,8.1,5.0,1.01
Antimatter - Theory,7,5,91,Text,5,7.4,9.9,10.0,8.8,28,12.3,4.885714285714286,0.32
Political Philosophy - Advanced,8,8,109,Practical,7,7.7,10.0,9.4,8.6,27,13.3,5.0,0.45
Photosynthesis - Concepts,6,5,85,Video,4,8.3,10.0,10.0,9.2,12,3.4,5.0,9.07
Digital Humanities - Advanced,4,9,79,Text,8,7.8,10.0,9.8,9.1,13,8.7,5.0,7.43
Evolutionary Biology - Theory,8,9,112,Video,6,7.5,10.0,10.0,9.2,16,9.2,5.0,4.08
Sustainable Agriculture - Workshop,9,5,116,Practical,5,8.0,10.0,9.7,8.9,16,13.0,5.0,4.08
Blockchain Security - Advanced,3,8,58,Text,5,7.3,10.0,10.0,8.9,12,11.9,5.0,9.07
UX Design - Advanced,4,5,79,Video,3,8.0,10.0,9.9,8.4,12,14.8,5.0,9.07
Quantum Entanglement - Concepts,9,6,115,Text,5,7.2,10.0,9.8,9.2,25,7.7,5.0,0.67
3D Animation - Theory,8,9,101,Practical,9,7.3,10.0,10.0,9.1,14,6.2,5.0,6.08
Computational Linguistics - Lab,3,6,61,Text,3,8.4,10.0,10.0,9.0,15,11.6,5.0,4.98
Forensic Science - Theory,4,9,71,Video,4,9.0,10.0,10.0,8.9,7,9.9,5.0,24.66
Behavioral Economics - Intro,3,9,63,Practical,5,6.7,10.0,9.8,8.5,22,15.9,5.0,1.23
Forensic Science - Intro,3,7,63,Text,3,9.0,10.0,10.0,9.0,12,15.0,5.0,9.07
Phonetics - Concepts,4,6,78,Practical,4,8.3,10.0,10.0,9.2,29,4.5,5.0,0.3
Phonetics - Advanced,4,6,61,Practical,4,8.5,10.0,9.6,8.4,14,19.0,5.0,6.08
Educational Psychology - Workshop,3,7,53,Practical,3,8.1,10.0,9.7,9.2,21,8.2,5.0,1.5
Astrophysics - Concepts,9,8,123,Text,7,7.7,10.0,10.0,9.6,18,14.1,5.0,2.73
Immunology - Lab,7,6,94,Audio,8,6.9,10.0,9.0,7.2,16,26.9,5.0,4.08
Metallurgy - Intro,4,5,62,Practical,5,7.4,10.0,10.0,9.2,22,11.5,5.0,1.23
Visual Perception - Advanced,8,7,119,Practical,4,7.7,10.0,10.0,9.1,21,9.1,5.0,1.5
Cellular Automata - Theory,5,6,71,Text,7,6.8,10.0,10.0,8.8,17,5.1,5.0,3.34
Cultural Studies - Applications,6,8,88,Practical,8,7.3,10.0,9.8,8.7,30,10.4,5.0,0.25
Remote Sensing - Concepts,3,6,59,Video,5,7.7,10.0,10.0,8.7,13,17.4,5.0,7.43
Neural Networks - Workshop,3,9,66,Text,7,6.6,10.0,10.0,8.7,14,10.8,5.0,6.08
Quantum Entanglement - Applications,6,5,80,Video,5,8.2,10.0,10.0,9.4,17,0.0,5.0,3.34
Political Philosophy - Workshop,7,7,102,Practical,8,6.0,10.0,10.0,8.6,15,13.8,5.0,4.98
Philosophy of Mind - Concepts,6,9,85,Video,6,8.4,10.0,10.0,8.8,13,6.5,5.0,7.43
UX Design - Applications,4,8,73,Video,7,8.4,10.0,9.6,8.5,21,15.7,5.0,1.5
Digital Marketing - Concepts,6,9,85,Practical,7,6.7,10.0,9.0,7.9,21,28.8,5.0,1.5
Pharmacology - Workshop,3,9,67,Video,3,9.0,10.0,10.0,9.7,22,6.8,5.0,1.23
Pharmacology - Advanced,6,8,85,Audio,9,7.0,10.0,9.8,8.9,9,18.7,5.0,16.53
Nanorobotics - Applications,5,9,67,Video,6,7.4,10.0,9.5,8.8,22,9.2,5.0,1.23
Quantum Entanglement - Workshop,8,7,106,Video,6,7.5,10.0,10.0,9.3,21,6.3,5.0,1.5
UX Design - Advanced,4,6,68,Audio,4,8.6,10.0,10.0,9.1,7,3.8,5.0,24.66
Immunology - Applications,6,9,95,Practical,6,7.7,10.0,9.1,7.9,20,17.6,5.0,1.83
Forensic Science - Concepts,3,7,53,Video,5,6.7,10.0,10.0,8.9,30,6.4,5.0,0.25
Marine Biology - Workshop,9,6,113,Practical,5,9.0,10.0,10.0,8.9,28,4.5,5.0,0.37
UX Design - Concepts,8,6,114,Text,3,8.8,10.0,10.0,9.1,17,15.8,5.0,3.34
Molecular Biology - Concepts,4,9,63,Text,4,8.3,10.0,10.0,8.9,9,0.5,5.0,16.53
Blockchain Security - Applications,3,7,59,Video,5,7.6,10.0,9.2,8.3,15,23.9,5.0,4.98
Moral Philosophy - Applications,7,9,99,Text,7,7.3,10.0,9.8,8.5,12,21.2,5.0,9.07
Computational Linguistics - Applications,5,8,81,Video,8,7.7,10.0,10.0,8.8,29,14.5,5.0,0.3
Computational Linguistics - Workshop,7,6,96,Video,6,7.8,10.0,9.4,8.4,22,10.4,5.0,1.23
Phonetics - Applications,5,9,75,Text,8,7.3,10.0,10.0,9.2,17,0.1,5.0,3.34
Astrophysics - Workshop,6,6,91,Video,4,7.7,10.0,10.0,8.9,24,8.3,5.0,0.82
Metallurgy - Lab,4,7,65,Video,4,8.1,10.0,9.1,8.0,23,23.1,5.0,1.01
Educational Psychology - Applications,6,5,83,Video,5,8.0,10.0,10.0,9.0,23,10.0,5.0,1.01
Cellular Automata - Theory,5,9,86,Practical,6,8.0,10.0,10.0,9.1,9,3.8,5.0,16.53
Neural Networks - Theory,5,9,82,Audio,6,7.5,10.0,9.5,8.7,25,18.7,5.0,0.67
Phonetics - Lab,5,6,88,Video,3,9.0,10.0,9.7,8.6,30,22.4,5.0,0.25
Bioinformatics - Applications,8,7,113,Practical,4,7.7,10.0,10.0,9.3,29,5.9,5.0,0.3
UX Design - Workshop,3,8,53,Practical,6,7.7,10.0,9.9,9.0,21,10.5,5.0,1.5
Urban Planning - Intro,4,7,70,Text,6,7.7,10.0,9.2,8.0,16,12.5,5.0,4.08
Phonetics - Concepts,6,9,84,Text,6,6.9,10.0,10.0,8.9,14,8.9,5.0,6.08
Philosophy of Mind - Concepts,6,8,81,Audio,7,7.4,10.0,10.0,9.3,23,9.6,5.0,1.01
Visual Perception - Concepts,7,7,97,Video,6,7.4,10.0,10.0,8.9,10,12.8,5.0,13.53
Climate Modeling - Advanced,5,5,84,Practical,7,8.1,10.0,9.7,8.1,14,16.5,5.0,6.08
Ethical Hacking - Applications,9,6,121,Audio,4,8.1,10.0,10.0,8.8,8,10.6,5.0,20.19
Philosophy of Mind - Intro,5,7,73,Audio,5,8.2,10.0,10.0,9.1,29,6.8,5.0,0.3
Financial Markets - Workshop,5,7,77,Practical,5,7.4,10.0,10.0,8.6,14,12.6,5.0,6.08
